phrase,round,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero,pass
revenue outlook,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
billion share,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
share buyback,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
law firm,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
biggest moves midday,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
long term,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
billion valuation,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
first half,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
first earnings,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
earnings report,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
share unlock,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
dividend stocks,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
soft jobs,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
valued at billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
closes at record,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
interest rates,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
interest rate,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
labor market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cyclospora fears,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
earnings miss,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
revenue growth,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
tariff refunds,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
profit guidance,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hike concerns,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
cuts annual,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
investors await,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
unveils billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
billion buyback,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
upbeat quarterly,1,3,3,3,3,3,2,3,2,3,2,2.7,0.483,10,True
cash flow,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hike bets,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
holds rates,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
survey finds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock rises,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
profit jumps,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
moves premarket,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
post earnings,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
supply chain,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock plunges,1,-4,-4,-4,-4,-4,-4,-3,-3,-4,-4,-3.8,0.422,10,True
cuts profit,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
shares sink,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
big tech,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
high yield,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
quarterly dividend,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
retail investors,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
little changed,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rate hike concerns,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
unveils billion buyback,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
forecasts upbeat quarterly,1,3,3,3,3,3,2,3,2,3,2,2.7,0.483,10,True
upbeat quarterly revenue,1,3,3,3,3,3,2,3,2,3,2,2.7,0.483,10,True
seven week high,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
rate hike bets,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
biggest moves premarket,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
invest billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
memory chip,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
factory activity,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
highest level,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
annual revenue,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sales shares,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
key test,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock drops,1,-3,-2,-3,-3,-3,-2,-3,-2,-3,-3,-2.7,0.483,10,True
shares rise,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
first earnings report,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
soft jobs report,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
software stocks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
energy founder,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
economic growth,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
survey shows,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
time high,1,1,1,2,2,2,2,1,2,1,2,1.6,0.516,10,True
revenue beat,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
raises outlook,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
fiscal first,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
lowest level,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
job losses,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
strong earnings,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
bond markets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shares jump,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
stocks fall,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
shares tank,1,-4,-4,-4,-4,-4,-4,-3,-3,-4,-4,-3.8,0.422,10,True
beat expectations,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
tech earnings,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
spending worries,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
quarterly loss,1,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2.9,0.316,10,True
shares soar,1,4,4,4,4,4,4,3,3,4,4,3.8,0.422,10,True
growth forecast,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
shares slump,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
profit outlook,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
oil rises,1,0,1,0,0,0,1,0,1,0,0,0.3,0.483,3,False
beats quarterly,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
rates steady,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
decade high,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
wealth fund,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cancer drug,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bank holds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
inflation likely,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
raise rates,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
high inflation,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
rate outlook,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
growth slows,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
stay away,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
top things,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
much money,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shares surge,1,4,4,4,4,4,4,3,3,4,4,3.8,0.422,10,True
revenue guidance,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
weight loss,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock jumps,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
cuts revenue,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
near record,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
crypto bill,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
trading debut,1,1,0,0,0,1,0,0,0,0,0,0.2,0.422,2,False
money traders,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
turnaround plan,1,1,1,1,1,1,0,1,0,1,1,0.8,0.422,8,True
data shows,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bankruptcy sale,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
stocks drop,1,-3,-2,-3,-2,-2,-2,-2,-2,-3,-2,-2.3,0.483,10,True
private credit,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bond sale,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
salmonella outbreak,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
markets eye,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock plunge,1,-4,-4,-4,-4,-4,-4,-3,-3,-4,-4,-3.8,0.422,10,True
weigh on sales,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
earnings and revenue,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
better than expected,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
four year high,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
time to buy,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
central bank holds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
today s market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
making too much,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock is falling,1,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2.2,0.422,10,True
worst day ever,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4.0,0.0,10,True
stock surges,1,4,4,4,4,4,4,3,3,4,4,3.8,0.422,10,True
oil production,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
founder builds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stake wants,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
chip plants,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
controlling families,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
energy prices,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
job seekers,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rate falls,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
posts best,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
sell billion,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
quarterly results,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
prediction market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
humanoid robot,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cuts full,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
stock soars,1,4,4,4,4,4,4,3,3,4,4,3.8,0.422,10,True
revenue miss,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
shares drop,1,-3,-2,-3,-2,-2,-2,-2,-2,-3,-2,-2.3,0.483,10,True
outlook disappoints,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
hits sales,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
sales outlook,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
profits surge,1,4,4,4,4,4,4,3,3,4,4,3.8,0.422,10,True
stock still,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
despite revenue,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sales surge,1,3,4,3,3,3,3,3,3,3,3,3.1,0.316,10,True
chip giant,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
spending surge,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
lower prices,1,0,0,0,0,-1,0,-1,-1,0,0,-0.3,0.483,3,False
operational reset,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
media rights,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stocks hit,1,-1,0,0,0,0,0,-1,0,-1,0,-0.3,0.483,3,False
options market,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
profit falls,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
stock climbs,1,2,2,2,3,2,2,2,2,2,2,2.1,0.316,10,True
energy founder builds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
wants to take,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
means for investors,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
falls to lowest,1,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.1,0.316,10,True
sales shares fall,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
artificial intelligence,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
three key,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
second largest,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
labor force,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
gas prices,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
federal government,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
live shopping,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shopping continues,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
private equity,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
private companies,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
companies added,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
major top,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
type fall,1,0,0,-1,0,0,0,0,0,0,0,-0.1,0.316,1,False
salad chain,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
streaming service,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
supported streaming,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
first ever,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
ever annual,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
revenue climbs,1,2,2,2,3,2,2,2,2,2,2,2.1,0.316,10,True
something unusual,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stock stages,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stages best,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
biggest weekly,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
back rate,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hike expectations,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
ahead inflation,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
test record,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
record setting,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
rate views,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stocks bonds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
eases rate,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
forecast cut,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
forecast raise,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
fall ahead,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
oil gains,1,0,1,0,0,0,1,0,1,0,0,0.3,0.483,3,False
oil drops,1,0,-1,0,0,0,-1,0,-1,0,0,-0.3,0.483,3,False
stocks gain,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
close lower,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1.9,0.316,10,True
stock indexes,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
strong cloud,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
upbeat revenue,1,3,3,3,3,3,2,3,2,3,2,2.7,0.483,10,True
offshore insurance,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
forecast shows,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
boosting business,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
lifts sales,1,2,2,3,2,2,2,2,2,2,2,2.1,0.316,10,True
outlook overshadows,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
healthcare stocks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stocks mixed,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
oil eases,1,0,-1,0,0,0,0,0,-1,0,0,-0.2,0.422,2,False
stock markets,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
end higher,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
fresh record,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
outlook cut,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
lifts annual,1,2,2,3,2,2,2,2,2,2,2,2.1,0.316,10,True
lift sentiment,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
reach billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
cancel offshore,1,-1,0,0,0,-1,0,0,0,0,0,-0.2,0.422,2,False
closing auction,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
earnings boom,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
earnings strength,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
customer data,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
linked earnings,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
container imports,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
agrees billion,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
billion takeover,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
lifts profit,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
fashion retailer,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
oil output,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
output rises,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
minerals projects,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
revenue profit,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
driven demand,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
misses quarterly,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
squeeze margins,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
oil producer,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
producer posts,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
best profit,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
economy posts,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
slowest growth,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
ipsos poll,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
poll finds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
hits seven,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
data dents,1,-1,-1,-2,-2,-2,-2,-2,-1,-2,-1,-1.6,0.516,10,True
dents rate,1,-1,0,-1,0,-1,-1,-1,0,0,0,-0.5,0.527,5,True
food prices,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
higher costs,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
inflation eases,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
higher rates,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
market stable,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
firms case,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stays strong,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
cut rates,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
beats forecast,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
holds gains,1,1,1,1,1,1,1,1,1,2,1,1.1,0.316,10,True
minutes show,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
manufacturing activity,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
high input,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
input prices,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
security risks,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
guidance hike,1,3,3,3,3,2,2,3,3,3,2,2.7,0.483,10,True
beat earnings,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
earnings guidance,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
profit growth,1,2,2,2,3,2,3,2,2,3,2,2.3,0.483,10,True
revenue jumps,1,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
operating profit,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
reports mixed,1,0,0,-1,0,0,-1,0,0,-1,0,-0.3,0.483,3,False
disappoints investors,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
fueled rally,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
analysts like,1,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
