phrase,mean_valence
outlook overshadows,-2.0
cyclospora fears,-2.0
cut jobs,-2.0
record low,-2.0
high inflation,-2.0
job cuts,-2.0
weigh on sales,-2.0
growth slows,-2.0
shares slide,-2.0
stock falls,-2.0
stay away,-2.0
hike concerns,-2.0
soft jobs report,-2.0
posts slowest,-1.9
inflated claims,-1.9
participation rate falls,-1.9
close lower,-1.9
blowing up riverbeds,-1.8
debt restructuring,-1.7
term unemployment,-1.6
unlock looms,-1.6
data dents,-1.6
big share unlock,-1.6
stock volatile,-1.4
job seekers giving,-1.3
giving up labor,-1.3
potential volatility,-1.1
markets brace,-1.1
prices weigh,-1.1
volatility ahead,-1.1
potential volatility ahead,-1.1
surge rattles,-1.0
high as weak,-1.0
yen weakens,-1.0
raise rates,-1.0
hike bets,-1.0
inflation likely,-1.0
sanctions bill,-1.0
hike expectations,-1.0
rally cools,-1.0
rate hike bets,-1.0
seekers giving,-1.0
hits sales,-1.0
weakens as markets,-1.0
lowest level,-1.0
proposes killing,-1.0
agrees to delay,-1.0
stocks swing,-1.0
deal expires,-1.0
delay midsize,-1.0
rate hike,-1.0
takes a backseat,-1.0
bets against rally,-1.0
brace for potential,-1.0
higher rates,-1.0
meetings markets brace,-1.0
dividend and raising,-1.0
high input,-1.0
rising oil prices,-1.0
pricey new tier,-1.0
killing tax breaks,-1.0
rate hikes,-1.0
billion cost,-1.0
software stocks swing,-1.0
governor to intervene,-1.0
share unlock,-1.0
fear gauge,-1.0
lockup expiry,-1.0
sellers load,-1.0
fall ahead,-1.0
lockup expiration,-1.0
dollar slips,-1.0
low end,-1.0
raising capital,-0.9
cost billion,-0.9
leadership change,-0.9
outlook as cyclospora,-0.9
despite promises,-0.9
profit but shares,-0.9
billion share sale,-0.8
falling long term,-0.7
added just workers,-0.6
proposes killing tax,-0.6
falling long,-0.5
restructuring plan,-0.5
dents rate,-0.5
share sale,-0.5
momentum stocks,0.5
posts first ever,0.5
test record setting,0.5
joint venture,0.7
take private,0.7
acquisition with billion,0.8
turnaround plan,0.8
faster than expected,0.9
refunds as profits,0.9
efficiency push,0.9
within reach,1.0
maintains annual,1.0
targets billion,1.0
eases rate,1.0
gains ahead,1.0
deal hopes,1.0
market stable,1.0
job openings,1.0
takes stake,1.0
tax breaks,1.0
operating profit,1.0
spending surge,1.0
fresh cash,1.0
access to billion,1.0
built a billion,1.0
driven demand,1.0
output rises,1.0
dividend paying,1.0
low cost,1.0
billion in savings,1.0
highest level,1.0
invest billion,1.0
plans billion,1.0
private companies added,1.0
spend is paying,1.0
advertising momentum,1.0
annual profit,1.0
net profit,1.0
tariff refunds,1.0
dividend run,1.0
free cash,1.0
cut rates,1.0
high yield,1.0
quarterly dividend,1.0
cost saving,1.0
dividend payers,1.0
eyes billion,1.0
quick payoff,1.0
invest billion building,1.0
test record,1.0
companies added,1.0
high grade bond,1.0
valued at billion,1.0
unveils billion,1.0
dollar gains,1.0
rate falls,1.0
billion takeover,1.0
finding solid,1.0
dividend stocks,1.0
agrees billion,1.0
growth forecast,1.0
labor market stable,1.0
strength of platforms,1.0
annual net profit,1.0
reports increase,1.0
first quarter profit,1.0
reach billion,1.0
eases rate hike,1.0
despite strong,1.0
profit and revenue,1.0
sales growth forecast,1.0
billion deal,1.0
quarterly profit,1.0
cut costs,1.0
rate cut,1.0
billion valuation,1.0
high close,1.0
second quarter profit,1.0
free cash flow,1.0
smart way,1.0
dip buyers,1.0
cuts interest,1.0
eyes billion valuation,1.0
run with increase,1.0
high grade,1.0
deal to buy,1.0
stock is cheap,1.0
analysts back,1.1
holds gains,1.1
steady income,1.2
gets billion,1.2
windfall in tariff,1.2
buy the dip,1.4
highest level ever,1.4
outlook on strength,1.6
time high,1.6
remains confident,1.7
near year high,1.7
streaming revenue ahead,1.8
revenue ahead,1.8
growth potential,1.8
gaining ground,1.9
beat and stock,1.9
debt relief,1.9
less debt,1.9
forecast on strong,1.9
fueled rally,2.0
four year high,2.0
stock buybacks,2.0
another beat,2.0
profit gain,2.0
strong cloud,2.0
profit rise,2.0
raises full,2.0
record setting,2.0
well positioned,2.0
stocks gain,2.0
forecast raise,2.0
revenue growth,2.0
lift sentiment,2.0
analysts like,2.0
billion buyback,2.0
stays strong,2.0
job growth,2.0
major advantage,2.0
inflation eases,2.0
end higher,2.0
posts quarterly profit,2.0
high on buying,2.0
discovery reports jump,2.0
economic growth,2.0
jump in streaming,2.0
buying opportunity,2.0
near record high,2.0
million share buyback,2.0
billion share buyback,2.0
decade high,2.0
time to buy,2.0
tax cut,2.0
near record,2.0
buying momentum,2.0
shares rise,2.0
subscriber growth,2.0
reports jump,2.0
seven week high,2.0
share buyback,2.0
boosting business,2.0
posts profit,2.0
stages best,2.0
gain ground,2.0
stock rises,2.0
sales growth,2.0
regulators clear,2.0
unveils billion buyback,2.0
exits bankruptcy,2.0
get boost,2.0
win win,2.1
margin boost,2.1
tops quarterly,2.1
revenue climbs,2.1
stock climbs,2.1
lifts sales,2.1
lifts annual,2.1
million windfall,2.2
medical platform jumped,2.2
sees million windfall,2.2
platform jumped,2.2
billion boost,2.2
beat strong,2.2
gets billion boost,2.2
hits record,2.3
earnings growth,2.3
profit growth,2.3
producer posts best,2.3
hit record,2.3
stock stages best,2.5
tops earnings,2.5
easily tops,2.6
forecasts upbeat,2.7
guidance hike,2.7
upbeat quarterly,2.7
upbeat quarterly revenue,2.7
forecasts upbeat quarterly,2.7
upbeat revenue,2.7
strong demand,2.7
lifts sales growth,2.8
revenue beat strong,2.9
beat strong guidance,2.9
strong guidance,2.9
blows past,2.9
strong returns,2.9
soars on earnings,3.0
fresh record,3.0
beats quarterly,3.0
lifts profit,3.0
posts best,3.0
beat expectations,3.0
bull market,3.0
stock jumps,3.0
posts best profit,3.0
markets soared,3.0
lifts profit forecast,3.0
soar as forecast,3.0
earnings beat,3.0
earnings strength,3.0
quarterly profit beat,3.0
earnings boom,3.0
record high,3.0
profit surge,3.0
hit record highs,3.0
jumps in debut,3.0
profit beats,3.0
best profit,3.0
shares jump,3.0
stocks rally,3.0
report booming,3.0
closes at record,3.0
continues to boom,3.0
sales doubled,3.0
raises dividend,3.0
revenue jumps,3.0
hikes guidance,3.0
beat earnings,3.0
profit beat,3.0
profit rises,3.0
business soars,3.0
better than expected,3.0
beats forecast,3.0
profit jumps,3.0
record highs,3.0
revenue beat,3.0
raises outlook,3.0
demand soars,3.0
strong earnings,3.0
another record,3.0
sales surge,3.1
shares soar,3.8
stock soars,3.8
profits surge,3.8
stock surges,3.8
shares surge,3.8
profit doubles,4.0
